MAPID,NAME,LOCATION,MAINTAINER,IN_OPERATI,PET_FRIEND,PHOTO_NAME,Easting,Northing
DFPB0136,"Fountain location:
Rupert Park",E-side of Field house,Parks,spring to fall,,Rupert Park - drinking fountain 1 - 2007.JPG,497773.1365,5457499.791
DFPB0137,"Fountain location:
Seaforth Peace Park",S end plaza,Parks,spring to fall,,,489365.4311,5457603.224
DFPB0138,"Fountain location:
Slocan Greenway",12th and slocan,Parks,spring to fall,,,496381.061,5456178.272
DFPB0139,"Fountain location:
Slocan Park",near playground,Parks,spring to fall,,,496480.335,5454626.209
DFPB0140,"Fountain location:
Spanish Banks Beach Park",on north wall of washrooms,Parks,spring to fall,,,483825.0305,5458338.686
DFPB0153,"Fountain location:
Stanley Park",Third beach seawall,Parks,spring to fall,,,488635.924,5461180.691
DFPB0152,"Fountain location:
Stanley Park",Second Beach pool deck,Parks,spring to fall,,,489017.9862,5460325.121
DFPB0151,"Fountain location:
Stanley Park",Second Beach,Parks,year-round,,,489092.6475,5460259.58
DFPB0150,"Fountain location:
Stanley Park",Totem poles,Parks,,,,491226.4857,5460708.502
DFPB0147,"Fountain location:
Stanley Park",prospect point washrooms,Parks,spring to fall,,,489626.8832,5462205.055
DFPB0149,"Fountain location:
Stanley Park",Pitch and Putt Course,Parks,,,,489349.6639,5460050.959
DFPB0156,"Fountain location:
Stanley Park",Prospect Point picnic area,Parks,spring to fall,,,489228.7094,5462009.071
DFPB0144,"Fountain location:
Stanley Park",Rose Garden playground,Parks,,,,489218.2594,5462001.117
DFPB0146,"Fountain location:
Stanley Park",W - side of Fish House,Parks,spring to fall,,,489312.196,5459965.651
DFPB0145,"Fountain location:
Stanley Park",Ceperley washrooms,Parks,spring to fall,,,489187.321,5460122.239
DFPB0143,"Fountain location:
Stanley Park",near Tennis Courts & Fish House,Parks,year-round,,,489383.9973,5459963.357
DFPB0142,"Fountain location:
Stanley Park",Lumbermen's Arch,Parks,year-round,,,490499.8671,5461159.81
DFPB0141,"Fountain location:
Stanley Park",Prospect Point viewing,Parks,spring to fall,,,489647.2898,5462315.605
DFPB0159,"Fountain location:
Stanley Park",Brockton Clubhouse,Parks,,,,489218.2594,5462001.117
DFPB0148,"Fountain location:
Stanley Park",,Parks,,,,490220.8578,5461000.387
DFPB0186,"Fountain location:
Stanley Park",,Parks,,,,490247.2215,5460718.226
